,company_name,job_title,posted_time,level,type,salary_range,requirements
62,Hospitales MAC,Analista de Datos,1 week ago,Mid-Senior level,Mid-Senior level,,"¡ÚNETE A HOSPITAL MAC CORPORATIVO!Estamos en búsqueda de talento para el puesto de Analista de Información.📍 Ubicación: Santa Fe, CDMX📅 Horario: Lunes a viernes, medio día los viernes🗓 Descanso: Sábado y Domingo¿Qué harás?Seguimiento y gestión de proyectosLevantamiento de requerimientosAutomatización de procesos BIDocumentación de procesosAnálisis de datos¿Qué buscamos?Experiencia y conocimientos en Power BI, Tableau y QueryExcel avanzado¿Qué ofrecemos?Sueldo base competitivoVales de despensaFondo de ahorroPrestaciones de leySi cumples con el perfil, envía tu CV con fotografía. Las entrevistas serán presenciales.🔒 Todos nuestros procesos son confidenciales."
63,ektello,Sr. Data Analyst,1 day ago,Mid-Senior level,Mid-Senior level,,"Sr. Data AnalystSummary:The main function of the Data Analyst is to provide business intelligence support and supporting areas through both repeatable and ad hoc reporting delivery reports (charts, graphs, tables, etc.) that enable informed business decisions.Key Responsibilities/Requirements:Perform all duties of an analytics tool administrator including all-site tagging and configurations, audits, monitoring, custom dashboards, and user training as requestedRun and improve regularly scheduled & ad hoc web analytics reports that contribute to impactful analysis and actionable insights.Develop comprehensive website tagging & tracking data capture strategies including custom analytics such as JavaScript to create events and triggers in Tag Manager while testing all tags, triggersDevelop and execute a comprehensive web analytics data strategy to optimize UX, CX & web performance metricsCollaborate with Business function, Category, Product, Merch & UX teams to create and deliver analytics Reporting and InsightsUtilize SQL to perform data analysis to extract valuable insights from large data sets like Clickstream, transactional dataDeveloping effective measurement frameworks and reports for non-technical audiences to enable actionable insights to improve digital marketing and customer conversion funnelEnsure data quality and integrity for key functions like internal mapping tables product hierarchy, Dates, Site taxonomy, and Adobe classificationsYou will be responsible for designing, coordinating execution, and analyzing experiments across our digital channels (web, mobile & app).You will work closely with the digital strategy team, product managers, designers, developers, and marketers to optimize the user experience and drive revenue growth.Develop and maintain a robust A/B testing pipeline, from ideation to implementation to analysis, using best practices and industry standards.Define and prioritize key hypotheses, metrics, and segments for testing, and communicate the results and recommendations to stakeholders.Knowledge of statistical concepts and methods, such as hypothesis testing, confidence intervals, sample size calculation, and regression analysis.Create and present clear and compelling reports and dashboards that showcase the impact of experiments on key performance indicators.Generate insights for weekly business performance reviewStay abreast of the latest trends and best practices in A/B testing, digital analytics, and user experience.Your skillset likely includes:6+ years of related experience in one or more of the functional areas: Business Analytics, eCommerce or Web analytics rolesDemonstrate strong technical expertise in Tableau/SQL and well versed with Adobe AnalyticsMaster’s degree in Business, Data Science, or a related field4+ years’ experience in e-commerce or consumer electronics industry or management consultingProficient in managing enterprise-class web analytics platforms (e.g. Adobe Analytics/Omniture, DXA) expertise with Client to Web SDK migration highly valuable.Proficiency in developing custom reports, advanced segments, and complex goals, and interpreting and presenting findingsStrong critical thinking skills and a proactive approach to identifying opportunities for optimization and improvement.Strong quantitative and analytical capabilities with high proficiency in data analysis using Excel, Tableau preferredPrior experience leading small teams with the ability to engage and develop talentExceptional communication skills with the ability to collaborate and build effective partnerships at all levels of the organizationStructured and process-oriented approach to solve business and operational problems with a highly Agile approachAbility to operate seamlessly in a matrix organization and manage stakeholders across multiple lines of businessesSelf-starter requires minimal supervisionStrong project management skillsLocation: Mountain View, CADuration: 12 Months | Potential for extensionSchedule: Hybrid | Hybrid (MTWTh in Office, F-remote)Pay Rate: ~$65.00 per hour19487"
64,Planet Technology,Data Analyst,3 days ago,Associate,Associate,,"12-month contract opportunity3 days a week onsite in Indianapolis Indiana (must be local to this area)Must be able to work on W2Required Job Qualifications:Bachelor’s degree in Math, Engineering, IT or related fieldProficient with SAS or other data analysis tools2+ years’ experience in systems development and manufacturing support in Life SciencesAbility to effectively communicate complex technical problems to both technical and non-technical audiencesAbility to multitask, prioritize and be detail-orientedAbility to work well in a self-managed or team environmentPreferred Job Qualifications:Familiarity with ServiceNowKnowledge of laboratory data systems and quality analyticsStrong understanding of networking concepts (VLAN’s, SNMP, subnets, switches, firewalls)Proven troubleshooting skills in a manufacturing context"
65,MITRE,Data Analyst Intern,1 week ago,Internship,Internship,,"Why choose between doing meaningful work and having a fulfilling life? At MITRE, you can have both. That's because MITRE people are committed to tackling our nation's toughest challenges—and we're committed to the long-term well-being of our employees. MITRE is different from most technology companies. We are a not-for-profit corporation chartered to work for the public interest, with no commercial conflicts to influence what we do. The R&D centers we operate for the government create lasting impact in fields as diverse as cybersecurity, healthcare, aviation, defense, and enterprise transformation. We're making a difference every day—working for a safer, healthier, and more secure nation and world. Our workplace reflects our values. We offer competitive benefits, exceptional professional development opportunities, and a culture of innovation that embraces diversity, inclusion, flexibility, collaboration, and career growth. If this sounds like the choice you want to make, then choose MITRE—and make a difference with us.Period of Work: May-August 2025Full-Time: 40 hours a weekLocation: McLean, VAIn Office Requirement: Hybrid (50% onsite)Clearance: NoneMITRE is dedicated to solving problems that provide safety, security, and economic prosperity for all individuals and American businesses. MITRE is seeking a Data Analyst Intern to support the growing economics work within the Commerce Department of the Treasury, Economics, and Commerce Division, within the Center for Enterprise Modernization FFRDC.Our deparment's work supports MITRE’s Department of Commerce project portfolio. We have projects supporting each of the bureaus under the Commerce Department, including NOAA, Census, ITA, and more. All our work is aligned with Commerce’s overarching goal of supporting America’s economic competitiveness at the global scale.Job Responsibilities:Perform quantitative analysis on and glean insights from real-world datasets for the Department of CommerceApply scientific methods, processes, algorithms, and techniques to extract knowledge and insights from structured and unstructured data, leveraging expertise in computer science, mathematics, and related fields.Use domain knowledge and research methodologies to frame focused, actionable questions and hypotheses about sponsor and business priorities.Provide strategic planning support to executive level decision makersProvide strategy and guidance for communication with government, industry and other stakeholdersBasic Qualifications:Must be a student enrolled full-time in an accredited degree-seeking program in Mathematics, Statistics, Data Science, Economics, Engineering, or a related degree and continue to be enrolled full-time the semester following the internshipSustained excellence in academic performanceStatistical software package or programming language experience such as Stata, R, Python or othersStrong communication skills, initiative, and experience working both independently and collaborativelyAbility to work on open-ended problems in a team setting that requires independent contributionPreferred Qualiications:Experience having applied data analysis learning to an internship or research/lab positionDemonstrated interest in serving the publicCoursework aligned with problem-solvingFamiliarity with disciplines related to the Commerce mission (e.g., trade, supply chain, data, economics, climate, spectrum, space, equity)Familiarity with how the federal government operatesDesire to learnThis requisition requires the candidate to have a minimum of the following clearance(s):NoneThis requisition requires the hired candidate to have or obtain, within one year from the date of hire, the following clearance(s):NoneWork Location Type:HybridMITRE is proud to be an equal opportunity employer. MITRE recruits, employs, trains, compensates, and promotes regardless of age; ancestry; color; family medical or genetic information; gender identity and expression; marital, military, or veteran status; national and ethnic origin; physical or mental disability; political affiliation; pregnancy; race; religion; sex; sexual orientation; and any other protected characteristics. For further information please visit the Equal Employment Opportunity Commission website EEO is the Law Poster and Pay Transparency.MITRE intends to maintain a website that is fully accessible to all individuals. If you are unable to search or apply for jobs and would like to request a reasonable accommodation for any part of MITRE’s employment process, please email recruitinghelp@mitre.org.Copyright © 2024, The MITRE Corporation. All rights reserved. MITRE is a registered trademark of The MITRE Corporation. Material on this site may be copied and distributed with permission only.Benefits information may be found here"
66,The Hub,Data Analyst,,Mid-Senior level,Mid-Senior level,,"*PLEASE NOTE THAT ALL JOBS ADVERTISED BY THE HUB ARE ON BEHALF OF PARTNERS, CLIENTS AND 3RD PARTIES AND APPLICATIONS AND RESPONSES ARE MANAGED BY THEM*The ideal candidate will use their passion for big data and analytics to provide insights to the business covering a range of topics. They will be responsible for conducting both recurring and ad hoc analysis for business users.  ResponsibilitiesUnderstand the day-to-day issues that our business faces, which can be better understood with dataCompile and analyse data related to business' issuesDevelop clear visualizations to convey complicated data in a straightforward fashionQualificationsBachelor's or Master's degree in Statistics or Applied Mathematics or equivalent experience1 - 2 years' Data Analysis experienceProficient in SQL"
67,"Resource Management Concepts, Inc.",Data Analyst,6 days ago,Associate,Associate,,"RMC is hiring a Data Analyst to support our Navy customer in Indian Head, MD. The selected applicant will be responsible for performing as a part of a team on data science projects. Duties may include{{:}} Collaborate with departments, divisions, branches, and IT teams to define data science projects that support the Command's strategic objectives Support the development of tailored communications to innovation stakeholders in meetings, demos, and other customer engagements, as well as support analytic innovation, development, and data analytics; support the development of briefs on technical topics Support advanced analysis and data visualization methodologies, models, and tools to derive outcomes and impacts Support the development of infographics and dashboards across a range of media platforms Leverage knowledge of databases and methodologies to determine appropriate sources, determine indicators and relationships, and generate intelligence support packages Utilize machine learning algorithms and statistical modeling techniques Utilize predictive data models, quantitative analyses, and visualization of targeted data sources; utilize data visualization tools (e.g., Tableau, PowerBI) and big data technologies (such as Hadoop, Spark) Support version control and branching strategies; manage overall configuration and control of data Deliver data pipelines with an emphasis on quality, efficiency, and scalability; document data science work and participate in peer reviews Identify and process raw data, trends, analysis, and assessments to aggregate disparate information  Analyze structured and unstructured data sources; handle, analyze and manage imperfect data; track trends and irregularities Utilize data science tools and statistical programming languages (such as R, SQL, and Python) Utilize Microsoft 365, Teams, SharePoint Salary at RMC is determined by various factors, including but not limited to location, a candidate's specific combination of education, knowledge, skills, competencies, and experience, as well as contract-specific requirements. The current salary range for this position will be $70,000 to $95,000 (annually).Requirements Associate degree in Mathematics, statistics, computer science, data science, or a field directly related to this position, plus at least 3 years of relevant experience conducting hands-on work in data exploration, data cleaning, data analysis, data visualization, and data mining. A High School diploma with at least 6 years of relevant experience in a related discipline may be substituted for a degree.  An active DoD SECRET clearance is required to start. The applicant selected may be subject to a security investigation and must meet eligibility requirements for access to classified information Strong analytical skills, with experience in analytics and exploratory data analysis Strong problem-solving skills and experience juggling competing priorities Strong oral and written communication skills and a track record of delivering data-driven projects  Experience working in a collaborative team environment BenefitsAt RMC, we're committed to your career growth! RMC differentiates itself from other firms through its investment in our employees. We invest our resources to train, certify, educate, and build our employees. RMC can offer you a great place to work with a small company feel and give you the experience, tuition assistance, and certifications that will take your career to the next level. This also includes a competitive paid vacation package with 11 paid federal holidays. Additionally, we also offer high-quality, low-deductible healthcare plans, pet insurance, and a competitive 401K package."
68,Synergis,BI Analyst,,Mid-Senior level,Mid-Senior level,,"BI AnalystHybrid- Minneapolis, MN- 3 daysW2 Contract through Nov 2025 (w/ benefits*Not open to c2c**Must have PowerApps, PowerBI and Visio experience.- 2-3 years of hands-on experience and/or degree in appropriate field with data organization experience (can be liberal arts)- Must be able to successfully work independently and with a teamThe Data Analyst is a skilled and experienced professional responsible for providing credentialed data expertise and technical support associated with data aggregation, analysis, insight generation, reporting, and subsequent automation. In doing so, this key member will assist in the ownership of various data related processes and assist in the drive to empower key business partners and interested stakeholders. Furthermore, this member will collaborate with the team manager to identify team-based strategic goals and suggest solutions for moderate-to-complex data related challenges.BI Analyst Responsibilities:The core tasks, duties, and responsibilities that primarily constitute the data analysts role include, but are not limited to:• Demonstrate up-to-date fluency in data and software-based techniques, which can then be applied to the design, development, and execution of strategic processes/projects capable of improving operational efficiencies and mitigating risk.• Demonstrate technical fluency associated with a wide range of software-such as Power BI, PowerApps, and Tableau-which can then be utilized to provide end-users with data-based tools, solutions, and/or visualizations.• Demonstrate knowledge and experience of Agile project methodology, including ability to enter data and report from JIRA• Demonstrate a focus on continued innovation through the ongoing analysis of business and system-related processes in order to ensure that data is reliable and valid, and processes are operationally efficient.• Responsible for adhering to the principles of data quality management, including metadata, lineage, and process/change documentation.• Provide ongoing support to applicable peers through continued collaboration, translation of business needs, and development and/or maintenance of data engineering/analytical processes.BI Analyst Requirements:• Education:o Required: Undergraduate degree in a quantitative field (i.e., analytics, computer or data science, or liberal arts degree with data focus) and/or 3-5 years of related experience.o Nice to have: Masters degree in a quantitative field (analytics, computer science, or data science) and 1-3 years of related experience.• Software:o Demonstrated applicable fluency in data visualization software, such as Power BI, PowerApps, and Tableau.o Proficient with Microsoft Office packages, as well as Power Platform and Visio• Time management skills, with focus on detail orientation and an ability to independently manage a dynamic workload.• Demonstrated ability to communicate and collaborate effectively with end-users and managementThe hourly pay rate for this position is $50-56. Benefits available to full-time employees: medical, dental, vision, disability, life insurance, 401k and commuter benefits.Synergis is proud to be an Equal Opportunity Employer. We value diversity and do not discriminate on the basis of race, color, ethnicity, national origin, religion, age, gender, gender identity, political affiliation, sexual orientation, marital status, disability, military/veteran status, or any other status protected by applicable law.Qualified applicants with arrest or conviction records will be considered for employment in accordance with the requirements of applicable state and local laws, including but not limited to, the San Francisco Fair Chance Ordinance, the City of Los Angeles’ Fair Chance Initiative for Hiring Ordinance, the Los Angeles County Fair Chance Ordinance for Employers and the California Fair Chance Act.For immediate consideration, please forward your resume to agaede@synergishr.comIf you require assistance or an accommodation in the application or employment process, please contact us at agaede@synergishr.com.Synergis is a workforce solutions partner serving thousands of businesses and job seekers nationwide. Our digital world has accelerated the need for businesses to build IT ecosystems that enable growth and innovation along with enhancing the Total Experience (TX). Synergis partners with our clients at the intersection of talent and transformation to scale their balanced teams of tech, digital and creative professionals. Learn more about Synergis at www.synergishr.com."
69,East West Bank,Intern - Data Analyst,1 day ago,Internship,Internship,,"Introduction Since 1973, East West Bank has served as a pathway to success. With over 120 locations across the U.S. and Asia, we are the premier financial bridge between the East and West. Our teams of experienced, multi-cultural professionals help guide businesses and community members on both sides of the Pacific looking to explore new markets and create new opportunities, and our sustained growth and expertise in industries like real estate, entertainment and media, private equity and venture capital, and high-tech help build sustainable businesses and expand our associates’ potential for career advancement.Headquartered in California, East West Bank (Nasdaq: EWBC) is a top performing commercial bank with an exclusive focus on the U.S. and Greater China markets. With a strong foundation, and enterprising spirit and a commitment to absolute integrity, East West Bank gives people the confidence to reach further.OverviewThe Financial Planning and Analysis department drives the company’s annual planning and budgeting cycle, and is central to the Bank’s executive management reporting, financial forecasts, profitability assessment, incentive planning, and performance reporting activities.This internship role will provide hands-on experience across all stages of financial reporting with a focus on data analysis, engineering, dashboard development, and process automation. We’re looking for someone who is detail oriented, organized, and eager to learn. Successful completion of the internship program may lead to a full-time offer post-graduation.Responsibilities Provide support across all stages of financial reporting, including ad hoc and recurring analyses  Partner with stakeholders to gather and document requirements  Create and maintain reports/dashboards using Excel, Power BI  Query and wrangle data using TSQL  Maintain ETL pipelines using Python, Visual Studio  Support data validation and reconciliation procedures  Other projects as assigned Qualifications Enrolled in a four-year undergraduate program majoring in finance, accounting, or computer science related field  Detail oriented, organized, and intellectually curious  Strong quantitative and critical thinking abilities  Highly motivated to learn and driven to succeed and add value  Excellent communication and interpersonal skills CompensationThe base pay range for this position is USD $20.00/Hr. - USD $25.00/Hr. Exact offers will be determined based on job-related knowledge, skills, experience, and location."
70,Highlight Health,Senior Data Analyst,3 weeks ago,Mid-Senior level,Mid-Senior level,,"Are you passionate about high-quality data analysis? Do you have experience working with health insurance data? Do you want to work with a diverse team? Do you want to contribute to the fight against costly medical bills? If you answered yes to these questions, then you might be the perfect fit for our Senior Data Analyst position at Highlight Health!Who We AreHighlight Health is a small, fast-growing startup with offices in Center City Philadelphia, PA and Newark, NJ. We're on a mission to fight against high-cost hospital bills and make healthcare more transparent and fairer to everyone. We use data-driven methods and innovative technology to identify and eliminate fraud, waste, abuse, and overpricing in the healthcare industry.We will count on you to Lead our special analysis projects. Build repeatable methodologies. Create routine analysis procedures for our team. Guide junior members of the analytics team and non-analytics team members. Create and maintain documentation supporting your work. Develop deep health insurance claims data expertise. Answer business questions with minimal guidance. Devise strategies to work around data limitations. What will you get from us? Receive financial and other support for your formal continuous education while you engage in hands-on learning. Work alongside passionate, critical-thinking colleagues who have deep health insurance knowledge and expertise. Be part of a team that is on the cutting edge of health care reform. Work with high profile, highly regarded clients in the healthcare industry. Enjoy a smaller company experience where you will be involved in the full data cycle from initial intake to final report. Have the chance to make a difference in healthcare and outcomes for those in need of financial assistance. RequirementsAt least 5 years of experience data analysis, including at least 3 years in health insurance data analysis. Experience working with and within large databases. Expertise in at least one of the following: SQL (any version, including Proc SQL of SAS), R Studio, or Python ETL experience. Bachelor's or higher degree preferred. Bonus points if you have Worked in a HIPAA-compliant environment. Medical knowledge. Actuarial experience. Worked in an environment that values high-quality, well-documented work. At least some SQL experience. Experience with two or more of the above software tools. Worked in a small company or department where you or your team had responsibility for the full data life cycle. Team lead or supervisory experience. BenefitsYou will work under the direction of a highly accomplished health insurance data analyst / actuary / executive. We offer a competitive salary that reflects your experience, skills, training, certifications, and education. We provide benefits, including health insurance, 401(k) matching, sick time, paid time-off, and training. After 90 days of employment, you can work from home 1 - 2 days a week. We will provide financial and other support for your continuous learning. We value diversity and inclusion and do not discriminate based on race, creed, color, national origin, ancestry, marital status, gender identity or expression, sexual orientation, or sex - nor do we welcome anyone that does. We are a small company with a big vision and a friendly culture. You will have the opportunity to work closely with our leadership team and have a direct impact on our growth and success. You will also enjoy a flexible work environment where you can balance your personal and professional goals. Salary $100,000+ How To ApplyIf you're ready to join the fight against high-cost medical bills, we can't wait to hear from you! To apply, we require:A cover letter to introduce yourself to the team. Your recent resume to showcase your experience."
71,Quantam,Data Analyst,1 week ago,Associate,Associate,$26.00/hr - $30.00/hr,"JOB DESCRIPTION:Our client seeks to hire a contract resource for the role of Data Analyst to support the Office of Income Taxation (OIT) with ongoing development and year-end projects. Assist with significant, multi-year ongoing development and enhancements to systems for data and processes for tax administration.To maximize the success and ensure smooth adoption across OIT of tax law changes, we desire a skilled and experienced contractor specializing in data analysis. A successful candidate’s expertise will be crucial in creating tracking workbooks, maintaining the spreadsheets, summarizing inventory, and minimizing disruption in data reporting. If a suitable candidate is found, we intend to fill the position as soon as possible and anticipate a multi-year commitment. We will review resumes when they are received and will contact you via e-mail to arrange interviews with chosen candidates. The work location is in Frankfort, KY. We offer a hybrid work model that allows for the flexibility to work from home as well as on-site in Frankfort. RESPONSIBILITIES:Work closely with management to recognize and support a positive outlook and motivation among the staff.Foster a culture of adaptability and resilience within the organization.Create data input files for user acceptance testing.Assist in User Acceptance testing for Modernized Electronic Filing.Work closely with project leadership to establish training programs to help staff members understand and use data effectively in their job tasks.Continuously and proactively assess the impact of the changes on OIT staff.Maintaining existing tools using Microsoft Visual Basic for Application (VBA) tools (Excel and Access).Coordinate with OIT management team in developing a communication plan and keeping OIT staff informed about changes.Run ad hoc reports for the management team using various sources.Work directly with employees to provide services and help resolve application issues.Collect detailed information to determine a method of resolution. REQUIRED QUALIFICATION:Bachelor’s degree in Computer Science, Information Systems, Information Technology, Software Engineering, Information Management or related field.Working knowledge of databases.Solid understanding of programming languages like Python, Java, JavaScript, SQL or C#.2+ years of proven experience in Excel and Visual Basic.Strong communication, interpersonal, and relationship-building skills. PREFERRED ATTRIBUTES:Adaptability and flexibility.Ability to pay attention to detail, thoroughly and accurately.Ability to follow instructions.Strong problem-solving skills.Ability to work collaboratively in a team and independently.Excellent time management and organizational skills."
72,Unisys,Business Data Analyst,1 week ago,Mid-Senior level,Mid-Senior level,,"Position: Data Analyst III / Business Data AnalystDuration: 6+ MonthsLocation: Reston, VA (Hybrid)Client is hiring a Business / Data Analyst to join our team. The analyst is expected to work alongside business users/ business or data or systems analyst/ developers and report directly to the Data Management manager. Your main tasks will include Troubleshooting data variances and failures to identify the root cause of issues using the available documentation (STTM). Providing solutions to resolve the issue.Business / Data Analyst Responsibilities:• Analyze complex requirements by reading STTMs and apply the knowledge to troubleshoot failures in a production environment• Propose solutions to resolve the analyzed problem/issue• Write scripts to correct data (data corrections) and coordinate with the technical team members to ensure the change is delivered to production.• Verify changes and certify the data after the data correction is implemented• Articulate technology solutions, in consultations with the systems analyst or Tech lead and requirements to diverse internal/external stakeholders, integrating process, business rules, and data to meet business needs.• Data-driven, results-oriented with the ability to quickly analyze data and make decisions that drive performance.• Understanding of Data Lineage, source to target mapping, documenting the data elements accurately is strongly needed.• Conducting meetings and presentations to share ideas and findings.• Documenting and communicating the results of data and business requirements• Effectively communicating your insights and plans to cross-functional team members and management.• Managing competing resources and priorities.• Should be able to complete task with minimum supervision• Overall 8-10 years of experiences neededBusiness / Data Analyst Requirements:• 8+ years of Business/Data Analysis experience• A bachelor’s degree Is required.• Must have Advanced SQL, excel skills (SQL on Oracle database preferred)• Strong knowledge of Data Warehouse / Mart concepts.• Must have experience using Toad and comparing data from various data sources• Competency in Microsoft applications including Word, and Outlook.• Must have experience using JIRA, Confluence• Strong working knowledge of agile methodology• Exhibit strong written and verbal communication skills• Extremely organized with strong time-management skills• Demonstrated ability to work with multiple stakeholders on a high visibility project• Multifamily or Single-Family mortgage experience is preferred.Top 3 skills:• Analytic Skills• Agile experience• Problem Solving Ability# LI-CGTSTS-0455"
73,Braven,Data Analyst,1 day ago,Associate,Associate,,"Job Title: Data AnalystTeam: ProductLocation: In-Person in Atlanta (GA), Chicago (IL), Washington (DC), Newark (NJ), or New York City (NYC)Employment Type: Full-timeStart Date: December 2024About BravenBraven is a national nonprofit that prepares promising young people—many of whom are people of color, from low-income backgrounds, and the first in their families to attend college—to secure a strong first opportunity after college graduation through a career-accelerating program.We work with higher education and employer partners to offer a life-changing experience that begins with a semester-long course for college students followed by support that lasts through graduation.Together, we are helping to open up access to the American Promise, empowering a generation of leaders who mirror the diversity of our country.To learn more, take a look at Braven's Impact Report and Jobs Report.About The RoleIn order to achieve its ambition of serving 80,000-100,000 Fellows over the next decade, Braven is hiring a Data Analyst who will support the organization's growth by creating and presenting data analysis that quantifies our impact, drives program improvement, and informs strategic decisions. As a member of the Data Insights team within the Product team, you will ensure our data are accurate and reliable; produce analysis of our program and Fellow outcomes; and partner with regional program teams to understand and make decisions based on our data.This role is on the Product team and reports directly to the Director, Data.What You'll DoSupport data management and reporting - 30% Be an active participant of Braven scrums (scrums are cross-functional project teams), owning and completing user stories related to data collection, collation, analysis, goals tracking, and reportingSupport monitoring and reporting of program and organizational metrics and key performance indicators (KPIs) aligned with Braven's prioritiesBuild and maintain Tableau dashboards to visualize key data insights, providing real-time reporting and analysis to support data-driven decision-making across Braven's program and organizational teamsPerform statistical analysis of data; monitor data quality - 40%Expertly use SQL, Python, Excel, and/or other analysis tools to thoughtfully analyze data, identifying patterns and trends to support data-informed decision makingDesign and manage systems and processes to efficiently collect and collate data (e.g., survey coding, extracting and organizing data from different sources)Troubleshoot and update datasets to ensure they are updated, accurate, and reliableArticulate and regularly present findings to colleagues - 20% Create regular and ad-hoc analyses and reports for various internal stakeholdersPartner with the Director of Data to support data storytelling, enabling regional program teams to understand data trends and their implications for program execution and outcomesOther - 10% Lead and support additional projects to achieve evaluation and analysis prioritiesOther duties as assignedRequirementsMinimum RequirementsBA/BS in quantitative field or work experience that demonstrates expertise in quantitative analysisAt least 2 years working in a quantitative or analytical roleProficiency in Excel and at least one of the following: Python, SQL, RExperience with data visualization tools, such as Tableau, Looker Studio or Power BIStrong analytical skills and attention to detail, with the ability to translate complex data into actionable insightsExcellent communication skills, both written and verbal, with the ability to present findings to non-technical stakeholdersExperience working with large datasets and performing data extraction, cleaning, and manipulationAbility to work independently and collaboratively in a fast-paced environment with cross-functional teamsPreferred QualificationsFamiliarity with CRM systems (e.g., Salesforce) or other database management toolsUnderstanding of statistical methods and experience applying them to real-world problemsKnowledge of ETL (extract, transform, and load) processes and tools for automating data workflowsYou have a track record of success managing yourself independently and continuously prioritizing to complete multiple projects well and on-timeYou have a learner's mindset and use it to master new tools, software, and ways of workingYou are eager to collaborate with others and are good at it. You seek to understand others' problems, and use your own perspective to solve problems togetherYou like working in fast-paced and team-oriented working environments that reward self-starters and strong collaboratorsYou have a demonstrated commitment to equity and inclusionYour experiences have informed your belief in Braven's mission and have prepared you to work with, or for, Braven's student Fellow populationPlease know that no one ever meets 100% of the preferred qualifications. If much of this describes you, we encourage you to apply.Work DemandsAbility to work in-person in Atlanta (GA), Chicago (IL), Washington (DC) Newark (NJ), or New York City (NYC) at least 3 days per weekTravel roughly 4 times per year for team stepbacks or staff retreatsAdditional RequirementsAuthorized to work in the U.SApplication & Interview ProcessWhile the interview process may vary slightly, the general process will be:Phone screen with Talent Team memberPerformance TaskInterview with Hiring ManagerPanel Interview with Key PartnersReference ChecksBenefitsCompensation and BenefitsThe salary for this position, which depends on prior work experience and our assessment of your demonstrated fit for the role, will likely be between $49,000- $61,200 in Atlanta,$51,500-$64,400 in Chicago & Washington D.C, and $56,800-$70,900 in New York & Newark. This is a full-time regular, exempt, and benefits eligible position where you will be working at 100% capacity. Braven offers competitive base salaries based on the midpoint of the market among not-for-profit organizations of similar size, with opportunities for salary growth over time. We believe in compensating staff members fairly in relation to each other, their qualifications, and their impact on behalf of the organization, and take internal and external equity seriously. Given our commitment to equity, Braven does not negotiate salary offers; instead each salary offer is determined carefully using external and internal benchmarking. You will have an opportunity to discuss salary in more detail after you begin the application process.Braven also provides competitive, comprehensive benefits, recognition, and career development. While Braven reserves the right to change benefits at any time, current benefits include:[Central Roles] Unlimited vacation time in addition to org-wide holidays and week-long shutdowns in July and the end of the calendar year (this is a minimum of 19 days per year)Match of your 401K contribution up to 5% of your base annual salary, starting your first full monthCoverage of 85% of health insurance premium for employee and dependents12 weeks of paid parental leaveA one-month paid sabbatical after 4 years on staffLocationWe gather in the office at least 3 days per week (on Tuesday, Wednesday and Thursday) and often work remotely 2 days per week (although certain commitments might adjust that from time to time). Therefore, this role requires teammates to live within commuting distance of one of our hubs: Atlanta, Chicago, Washington (DC), Newark, or New York City. We believe in the magic, connection, and collaboration that happens when people work together face-to-face and we believe in giving people flexibility to focus, balance personal priorities, and save themselves two commutes per week.Commitment to Diversity, Equity, and Inclusion At Braven, we are committed to attracting, engaging, developing, and retaining a diverse team. Braven operates in the context of our American culture, against the backdrop of systemic racism and oppression of marginalized people since our country's founding. We are committed to assembling leaders at our organization who have emerged from everywhere, with a particular emphasis on those who share the racial and income backgrounds of our Fellows, and creating an inclusive culture that allows all teammates, of all experiences and identities, to thrive.Braven is an equal opportunity employer and considers qualified applicants for employment without regard to race, color, creed, religion, national origin, sex, sexual orientation, gender identity and expression, age, disability, veteran status, or any other protected factor. We encourage talented individuals of all backgrounds to apply."
74,LHH,Corporate Data Analyst,1 week ago,Associate,Associate,"$70,000.00/yr - $90,000.00/yr","LHH is partnering with one of our favorite clients. Come work with a company where people stay for many years!Position: Corporate Data AnalystCompensation: $60-90K10% bonus based on company performance7% retirement (4%:8% match, 3% safe harbor)2 weeks’ vacation; 6 sick (PTO) days, 8 holidays; 2 floating holidaysGenerous and Comprehensive healthcare package’Health club reimbursement; donation matching, STD, LTDHave their own credit unionJob includes:Management of large datasets to track and initiate payments for retirement accountsFunding three days a week- contributions in various plansAnnual funding notice, census collection, dependent on calendar, audits etc.Analysis and distribution of compensation packages Prep and handle distribution of funds partnering with treasuryWe are looking for:2-3 years of experience in job with a strength in numerical analysis and complianceBachelor’s degree preferred; associates acceptable with additional years of experiencePreference to large companies with multiple divisions Intermediate Excel, pivot, v-lookup, match, basic formulasCultural notes:Wants to hire someone interested in this being their long-term home and being part of the growth of the team and the company. Someone who likes to work hard and really think deeplyWe all get our hands dirty in the work; looking for someone dedicated to high quality workLikes the collaborative approach. Lots of Communication with varying departments and locations. Can change gears quickly and efficiently; Used to juggling multiple prioritiesComfortable navigating a new system and being an admin of a risk systemTo read our Candidate Privacy Information Statement, which explains how we will use your information, please navigate to https://www.lhh.com/us/en/candidate-privacy"
